ID,Rg/Nr,Desc
js1a,Nr,(R+L+(R|C))|(R+C)
js1b,Nr,((C+R)|R|L)+(C|R)
js1c,Nr,(R+C+(R|L))|(R+L)
js1d,Nr,((L+R)|R|C)+(L|R)
js2a,Nr,((R|L)+(R|C))|(R+C)
js2b,Nr,((C+R)|(R+L))+(C|R)
js2c,Nr,((R|C)+(R|L))|(R+L)
js2d,Nr,((L+R)|(R+C))+(L|R)
js3a,Nr,(L+(R|C))|R|(R+C)
js3b,Nr,R+((C+R)|L)+(C|R)
js3c,Nr,(C+(R|L))|R|(R+L)
js3d,Nr,R+((L+R)|C)+(L|R)
js4a,Nr,R+(((L+(R|C))|(R+C)))
js4b,Nr,R|(((L+R)|C)+(L|R))
js4c,Nr,R+(((C+(R|L))|(R+C)))
js4d,Nr,R|(((C+R)|L)+(C|R))
